"cropYear","Date","Price","MarginCents","MaxPrice","Margin","PriceWithMargin","PercentSold"
"2008-09",2008-01-23,4.84,0.19,7.88,3.23,8.07,"10"
"2008-09",2008-03-18,5.61,0.2,7.88,2.47,8.08,"10"
"2008-09",2008-05-16,6.17,0.2,7.88,1.91,8.08,"10"
"2008-09",2008-07-07,7.47,0.3,7.47,0.3,7.77,"10"
"2008-09",2008-07-14,6.82,0.3,6.82,0.3,7.12,"10"
"2008-09",2008-07-21,6.08,0.3,6.21,0.43,6.51,"10"
"2008-09",2008-09-15,5.62,0.3,5.63,0.31,5.93,"10"
"2008-09",2009-03-20,3.96,0.3,4.22,0.56,4.52,"10"
"2008-09",2009-03-31,4.05,0.3,4.22,0.47,4.52,"10"
"2008-09",2009-05-01,4.06,0.3,4.22,0.46,4.52,"10"
"2009-10",2008-01-23,4.68,0.19,7.88,3.39,8.07,"10"
"2009-10",2008-05-16,5.89,0.2,7.88,2.19,8.08,"10"
"2009-10",2008-07-07,6.67,0.3,7.47,1.1,7.77,"10"
"2009-10",2008-07-14,6.59,0.3,6.82,0.53,7.12,"10"
"2009-10",2008-07-21,6.31,0.3,6.21,0.2,6.51,"10"
"2009-10",2008-07-28,6.23,0.3,6.21,0.28,6.51,"10"
"2009-10",2009-10-21,3.98,0.24,4.07,0.33,4.31,"10"
"2009-10",2009-12-28,4.16,0.2,4.23,0.27,4.43,"10"
"2009-10",2010-06-10,3.43,0.17,3.92,0.66,4.09,"10"
"2009-10",2010-06-21,3.55,0.17,3.92,0.54,4.09,"10"
"2010-11",2008-01-23,4.67,0.19,7.88,3.4,8.07,"10"
"2010-11",2008-05-16,5.99,0.2,7.88,2.09,8.08,"10"
"2010-11",2008-07-07,6.58,0.3,7.47,1.19,7.77,"10"
"2010-11",2008-07-14,6.57,0.3,6.82,0.55,7.12,"10"
"2010-11",2008-07-21,6.38,0.3,6.21,0.13,6.51,"10"
"2010-11",2008-07-28,6.15,0.3,6.21,0.36,6.51,"10"
"2010-11",2010-09-17,5.13,0.19,5.9,0.96,6.09,"10"
"2010-11",2010-09-24,5.22,0.19,5.9,0.87,6.09,"10"
"2010-11",2010-10-12,5.79,0.3,5.9,0.41,6.2,"10"
"2010-11",2010-12-17,5.97,0.3,7.3,1.63,7.6,"10"
"2011-12",2011-01-21,5.87,0.3,7.75,2.18,8.05,"10"
"2011-12",2011-02-11,6.18,0.3,7.75,1.87,8.05,"10"
"2011-12",2011-04-04,6.45,0.35,7.75,1.65,8.1,"10"
"2011-12",2011-05-27,6.84,0.35,7.75,1.26,8.1,"10"
"2011-12",2011-06-08,6.94,0.35,7.75,1.16,8.1,"10"
"2011-12",2012-03-05,6.66,0.35,6.74,0.43,7.09,"10"
"2011-12",2012-03-12,6.72,0.35,6.74,0.37,7.09,"10"
"2011-12",2012-03-20,6.47,0.35,6.66,0.54,7.01,"10"
"2011-12",2012-05-04,6.62,0.27,6.66,0.31,6.93,"10"
"2011-12",2012-06-20,6.12,0.26,7.77,1.91,8.03,"10"
"2012-13",2012-03-16,5.74,0.35,8.39,3,8.74,"10"
"2012-13",2012-04-05,5.5,0.35,8.39,3.24,8.74,"10"
"2012-13",2012-06-19,5.64,0.26,8.39,3.01,8.65,"10"
"2012-13",2012-06-26,6.24,0.26,8.39,2.41,8.65,"10"
"2012-13",2012-08-28,7.95,0.4,8.14,0.59,8.54,"10"
"2012-13",2013-03-11,7.34,0.32,7.41,0.4,7.74,"12.5"
"2012-13",2013-03-20,7.32,0.32,7.35,0.35,7.67,"12.5"
"2012-13",2013-06-10,6.5,0.4,7.17,1.07,7.57,"12.5"
"2012-13",2013-06-20,6.73,0.4,7.17,0.84,7.57,"12.5"
"2013-14",2012-08-28,6.49,0.4,8.14,2.05,8.54,"10"
"2013-14",2012-09-05,6.57,0.4,7.99,1.82,8.39,"10"
"2013-14",2012-09-12,6.52,0.4,7.82,1.7,8.22,"10"
"2013-14",2012-09-19,6.4,0.4,7.73,1.73,8.13,"10"
"2013-14",2012-09-26,6.19,0.4,7.73,1.94,8.13,"10"
"2013-14",2012-12-12,6.26,0.34,7.21,1.29,7.55,"10"
"2013-14",2014-03-04,4.77,0.35,4.86,0.44,5.21,"10"
"2013-14",2014-03-31,5.02,0.35,5.16,0.49,5.51,"10"
"2013-14",2014-04-14,5.03,0.35,5.16,0.48,5.51,"10"
"2013-14",2014-04-23,5.03,0.35,5.16,0.48,5.51,"10"
"2014-15",2012-08-28,5.98,0.4,8.14,2.56,8.54,"10"
"2014-15",2012-09-05,6.05,0.4,7.99,2.34,8.39,"10"
"2014-15",2012-09-12,6.02,0.4,7.82,2.2,8.22,"10"
"2014-15",2012-09-19,5.97,0.4,7.73,2.16,8.13,"10"
"2014-15",2012-09-26,5.96,0.4,7.73,2.17,8.13,"10"
"2014-15",2012-12-12,5.97,0.34,7.21,1.58,7.55,"10"
"2014-15",2015-03-10,3.82,0.2,3.84,0.22,4.04,"10"
"2014-15",2015-03-20,3.85,0.2,3.95,0.3,4.15,"10"
"2014-15",2015-06-10,3.57,0.2,4.34,0.97,4.54,"10"
"2014-15",2015-06-22,3.6,0.2,4.34,0.94,4.54,"10"
"2015-16",2015-06-30,4.32,0.2,4.52,0.4,4.72,"10"
"2015-16",2016-03-10,3.62,0.18,3.68,0.24,3.86,"22.5"
"2015-16",2016-03-21,3.69,0.18,3.95,0.44,4.13,"17.5"
"2015-16",2016-03-21,3.69,0.18,3.95,0.44,4.13,"5"
"2015-16",2016-05-25,4.05,0.19,4.38,0.52,4.57,"10"
"2015-16",2016-06-14,4.36,0.19,4.38,0.21,4.57,"10"
"2015-16",2016-06-15,4.29,0.19,4.38,0.28,4.57,"12.5"
"2015-16",2016-06-20,4.21,0.19,4.21,0.19,4.4,"12.5"
"2016-17",2016-06-03,4.2,0.19,4.49,0.48,4.68,"10"
"2016-17",2016-06-17,4.49,0.19,4.49,0.19,4.68,"10"
"2016-17",2017-02-13,3.76,0.14,3.79,0.17,3.93,"10"
"2016-17",2017-03-10,3.58,0.14,3.63,0.19,3.77,"17.5"
"2016-17",2017-03-20,3.63,0.14,3.71,0.22,3.85,"2.5"
"2016-17",2017-03-20,3.63,0.14,3.71,0.22,3.85,"15"
"2016-17",2017-06-12,3.77,0.15,3.92,0.3,4.07,"17.5"
"2016-17",2017-06-20,3.7,0.15,3.92,0.37,4.07,"17.5"
