"cropYear","Date","Price","MarginCents","MaxPrice","Margin","PriceWithMargin","PercentSold"
"2008-09",2008-01-23,4.84,0.19,7.88,3.23,8.07,"10"
"2008-09",2008-03-17,5.55,0.2,7.88,2.53,8.08,"10"
"2008-09",2008-05-16,6.17,0.2,7.88,1.91,8.08,"10"
"2008-09",2008-07-07,7.47,0.3,7.47,0.3,7.77,"10"
"2008-09",2008-07-14,6.82,0.3,6.82,0.3,7.12,"10"
"2008-09",2008-09-16,5.32,0.3,5.63,0.61,5.93,"10"
"2008-09",2009-03-10,3.67,0.3,3.91,0.54,4.21,"10"
"2008-09",2009-03-20,3.96,0.3,4.22,0.56,4.52,"10"
"2008-09",2009-04-01,3.96,0.3,4.22,0.56,4.52,"10"
"2008-09",2009-06-03,4.32,0.24,4.49,0.41,4.73,"10"
"2009-10",2009-03-11,3.96,0.3,4.73,1.07,5.03,"10"
"2009-10",2009-04-01,4.27,0.3,4.73,0.76,5.03,"10"
"2009-10",2009-05-26,4.5,0.24,4.73,0.47,4.97,"10"
"2009-10",2009-06-12,4.48,0.24,4.48,0.24,4.72,"10"
"2009-10",2009-06-29,3.97,0.24,4.07,0.34,4.31,"10"
"2009-10",2009-10-26,3.78,0.24,4.07,0.53,4.31,"10"
"2009-10",2010-01-12,3.92,0.2,3.92,0.2,4.12,"10"
"2009-10",2010-03-22,3.71,0.2,3.72,0.21,3.92,"10"
"2009-10",2010-06-10,3.43,0.17,3.92,0.66,4.09,"10"
"2009-10",2010-06-21,3.55,0.17,3.92,0.54,4.09,"10"
"2010-11",2010-01-12,4.18,0.2,5.9,1.92,6.1,"10"
"2010-11",2010-08-09,4.18,0.19,5.9,1.91,6.09,"10"
"2010-11",2010-08-31,4.39,0.19,5.9,1.7,6.09,"10"
"2010-11",2010-09-27,5.13,0.19,5.9,0.96,6.09,"10"
"2010-11",2010-10-18,5.57,0.3,5.9,0.63,6.2,"10"
"2010-11",2011-01-07,5.95,0.3,7.3,1.65,7.6,"10"
"2010-11",2011-03-07,7.11,0.3,7.11,0.3,7.41,"10"
"2010-11",2011-03-30,6.63,0.3,7.76,1.43,8.06,"10"
"2010-11",2011-04-12,7.53,0.35,7.66,0.48,8.01,"10"
"2010-11",2011-04-27,7.52,0.35,7.54,0.37,7.89,"10"
"2011-12",2011-01-25,5.79,0.3,7.75,2.26,8.05,"10"
"2011-12",2011-02-14,6.07,0.3,7.75,1.98,8.05,"10"
"2011-12",2011-04-12,6.36,0.35,7.75,1.74,8.1,"10"
"2011-12",2011-05-31,6.73,0.35,7.75,1.37,8.1,"10"
"2011-12",2011-06-15,6.66,0.35,7.75,1.44,8.1,"10"
"2011-12",2012-03-06,6.58,0.35,6.74,0.51,7.09,"10"
"2011-12",2012-03-20,6.47,0.35,6.66,0.54,7.01,"10"
"2011-12",2012-05-09,6.41,0.27,6.41,0.27,6.68,"10"
"2011-12",2012-06-11,5.92,0.26,7.77,2.11,8.03,"10"
"2011-12",2012-06-20,6.12,0.26,7.77,1.91,8.03,"10"
"2012-13",2012-03-19,5.7,0.35,8.39,3.04,8.74,"10"
"2012-13",2012-03-28,5.36,0.35,8.39,3.38,8.74,"10"
"2012-13",2012-08-28,7.95,0.4,8.14,0.59,8.54,"10"
"2012-13",2013-03-11,7.34,0.32,7.41,0.4,7.74,"17.5"
"2012-13",2013-03-20,7.32,0.32,7.35,0.35,7.67,"2.5"
"2012-13",2013-03-20,7.32,0.32,7.35,0.35,7.67,"15"
"2012-13",2013-06-10,6.5,0.4,7.17,1.07,7.57,"17.5"
"2012-13",2013-06-20,6.73,0.4,7.17,0.84,7.57,"17.5"
"2013-14",2013-02-07,5.66,0.32,5.72,0.38,6.04,"10"
"2013-14",2013-06-20,5.61,0.4,5.61,0.4,6.01,"10"
"2013-14",2014-04-02,4.96,0.35,5.16,0.55,5.51,"10"
"2013-14",2014-04-11,4.99,0.35,5.16,0.52,5.51,"10"
"2013-14",2014-05-02,4.94,0.35,5.13,0.54,5.48,"10"
"2013-14",2014-05-12,4.97,0.3,5.03,0.36,5.33,"10"
"2013-14",2014-05-27,4.7,0.3,4.72,0.32,5.02,"10"
"2013-14",2014-06-10,4.45,0.3,4.53,0.38,4.83,"15"
"2013-14",2014-06-20,4.53,0.3,4.53,0.3,4.83,"15"
"2014-15",2014-05-20,4.72,0.3,4.75,0.33,5.05,"10"
"2014-15",2014-06-10,4.45,0.3,4.52,0.37,4.82,"10"
"2014-15",2014-06-23,4.43,0.3,4.47,0.34,4.77,"10"
"2014-15",2014-06-30,4.25,0.3,4.25,0.3,4.55,"10"
"2014-15",2015-03-10,3.82,0.2,3.84,0.22,4.04,"10"
"2014-15",2015-03-10,3.82,0.2,3.84,0.22,4.04,"5"
"2014-15",2015-03-20,3.85,0.2,3.95,0.3,4.15,"15"
"2014-15",2015-06-10,3.57,0.2,4.34,0.97,4.54,"15"
"2014-15",2015-06-22,3.6,0.2,4.34,0.94,4.54,"15"
"2015-16",2015-07-20,4.16,0.25,4.18,0.27,4.43,"10"
"2015-16",2016-03-10,3.62,0.18,3.68,0.24,3.86,"22.5"
