"cropYear","Date","Price","MarginCents","MaxPrice","Margin","PriceWithMargin","PercentSold"
"2008-09",2008-01-22,12.18,0.4,16.31,4.53,16.71,"10"
"2008-09",2008-04-15,13,0.8,16.31,4.11,17.11,"10"
"2008-09",2008-05-21,13.55,0.7,16.31,3.46,17.01,"10"
"2008-09",2008-06-05,14.32,0.6,16.31,2.59,16.91,"10"
"2008-09",2008-06-25,15.25,0.7,16.31,1.76,17.01,"10"
"2008-09",2008-07-08,15.29,0.7,16.31,1.72,17.01,"10"
"2008-09",2009-04-03,9.96,0.7,11.66,2.4,12.36,"10"
"2008-09",2009-04-16,10.59,0.7,11.66,1.77,12.36,"10"
"2008-09",2009-04-30,10.7,0.7,11.66,1.66,12.36,"10"
"2008-09",2009-05-26,11.86,0.6,12.67,1.41,13.27,"10"
"2009-10",2008-01-22,12.03,0.4,16.31,4.68,16.71,"10"
"2009-10",2008-07-08,14.54,0.7,15.96,2.12,16.66,"10"
"2009-10",2008-07-15,14.52,0.7,15.48,1.66,16.18,"10"
"2009-10",2009-04-14,9.39,0.7,10.9,2.21,11.6,"10"
"2009-10",2009-05-14,9.92,0.6,10.9,1.58,11.5,"10"
"2009-10",2009-05-27,10.5,0.6,10.9,1,11.5,"10"
"2009-10",2009-11-17,10.29,0.55,10.61,0.87,11.16,"10"
"2009-10",2010-05-20,9.44,0.55,10.36,1.47,10.91,"10"
"2009-10",2010-07-12,10.32,0.4,10.36,0.44,10.76,"10"
"2009-10",2010-07-15,10.19,0.4,10.59,0.8,10.99,"10"
"2010-11",2008-01-22,12.15,0.4,16.31,4.56,16.71,"10"
"2010-11",2008-07-08,14.6,0.7,15.96,2.06,16.66,"10"
"2010-11",2008-07-15,14.54,0.7,15.48,1.64,16.18,"10"
"2010-11",2010-04-22,9.85,0.55,13.3,4,13.85,"10"
"2010-11",2010-07-15,9.88,0.4,13.3,3.82,13.7,"10"
"2010-11",2010-07-23,9.81,0.4,13.3,3.89,13.7,"10"
"2010-11",2010-10-11,11.53,0.5,13.3,2.27,13.8,"10"
"2010-11",2010-10-20,12.12,0.5,13.3,1.68,13.8,"10"
"2010-11",2010-11-09,13.19,0.5,13.3,0.61,13.8,"10"
"2010-11",2011-01-12,14.09,0.65,14.51,1.07,15.16,"10"
"2011-12",2011-01-20,13.42,0.7,14.57,1.85,15.27,"10"
"2011-12",2012-03-15,13.69,0.5,15.03,1.84,15.53,"10"
"2011-12",2012-03-26,13.8,0.5,15.03,1.73,15.53,"10"
"2011-12",2012-04-27,14.97,0.5,15.03,0.56,15.53,"10"
"2011-12",2012-05-24,13.76,0.5,16.65,3.39,17.15,"10"
"2011-12",2012-06-06,13.86,0.5,16.65,3.29,17.15,"10"
"2011-12",2012-06-25,14.82,0.5,16.65,2.33,17.15,"10"
"2011-12",2012-06-26,14.7,0.5,16.65,2.45,17.15,"10"
"2011-12",2012-07-05,16.26,0.6,16.65,0.99,17.25,"10"
"2011-12",2012-07-20,17.58,0.75,17.58,0.75,18.33,"10"
"2012-13",2012-03-30,13.58,0.5,17.71,4.63,18.21,"10"
