"cropYear","Date","Price","MarginCents","MaxPrice","Margin","PriceWithMargin","PercentSold"
"2008-09",2008-01-22,12.18,0.4,16.31,4.53,16.71,"10"
"2008-09",2008-03-04,13.99,0.44,16.31,2.76,16.75,"10"
"2008-09",2008-03-14,12.79,0.5,16.31,4.02,16.81,"10"
"2008-09",2008-05-22,13.24,0.7,16.31,3.77,17.01,"10"
"2008-09",2008-06-24,14.91,0.7,16.31,2.1,17.01,"10"
"2008-09",2009-04-20,10.19,0.7,11.66,2.17,12.36,"10"
"2008-09",2009-06-15,11.97,0.6,12.67,1.3,13.27,"10"
"2008-09",2009-06-22,11.52,0.6,12.67,1.75,13.27,"10"
"2008-09",2009-07-07,11.34,0.6,12.67,1.93,13.27,"10"
"2008-09",2009-07-08,10.84,0.6,12.67,2.43,13.27,"10"
"2009-10",2009-04-20,9.03,0.7,10.9,2.57,11.6,"10"
"2009-10",2009-05-15,9.76,0.6,10.9,1.74,11.5,"10"
"2009-10",2009-06-03,10.47,0.6,10.9,1.03,11.5,"10"
"2009-10",2009-06-15,10.25,0.6,10.9,1.25,11.5,"10"
"2009-10",2009-06-22,9.81,0.6,10.9,1.69,11.5,"10"
"2009-10",2009-11-18,10.27,0.55,10.61,0.89,11.16,"10"
"2009-10",2010-01-07,10.18,0.55,10.61,0.98,11.16,"10"
"2009-10",2010-05-20,9.44,0.55,10.36,1.47,10.91,"10"
"2009-10",2010-07-12,10.32,0.4,10.36,0.44,10.76,"10"
"2009-10",2010-07-20,10.12,0.4,10.59,0.87,10.99,"10"
"2010-11",2010-01-07,10,0.55,13.3,3.85,13.85,"10"
"2010-11",2010-07-19,9.72,0.4,13.3,3.98,13.7,"10"
"2010-11",2010-07-26,9.66,0.4,13.3,4.04,13.7,"10"
"2010-11",2010-10-21,12.02,0.5,13.3,1.78,13.8,"10"
"2010-11",2010-11-10,13.1,0.55,13.3,0.75,13.85,"10"
"2010-11",2011-01-25,13.74,0.7,14.51,1.47,15.21,"10"
"2010-11",2011-02-15,13.68,0.7,14.51,1.53,15.21,"10"
"2010-11",2011-02-22,12.98,0.7,14.51,2.23,15.21,"10"
"2010-11",2011-07-11,13.52,0.65,14.15,1.28,14.8,"10"
"2010-11",2011-07-20,13.78,0.65,13.86,0.73,14.51,"10"
"2011-12",2011-01-25,13.13,0.7,14.57,2.14,15.27,"10"
"2011-12",2012-03-19,13.66,0.5,15.03,1.87,15.53,"10"
"2011-12",2012-03-28,13.68,0.5,15.03,1.85,15.53,"10"
"2011-12",2012-05-02,14.8,0.5,15.03,0.73,15.53,"10"
"2011-12",2012-05-23,13.62,0.5,16.65,3.53,17.15,"10"
"2011-12",2012-05-31,13.4,0.5,16.65,3.75,17.15,"10"
"2011-12",2012-06-26,14.7,0.5,16.65,2.45,17.15,"10"
"2011-12",2012-07-20,17.58,0.75,17.58,0.75,18.33,"30"
"2012-13",2012-04-18,13.38,0.5,17.71,4.83,18.21,"10"
"2012-13",2012-05-22,12.82,0.5,17.71,5.39,18.21,"10"
"2012-13",2012-07-24,15.69,0.75,17.71,2.77,18.46,"10"
"2012-13",2012-08-07,15.66,0.75,17.71,2.8,18.46,"10"
"2012-13",2013-05-10,14.88,0.68,15.24,1.04,15.92,"10"
"2012-13",2013-05-10,14.88,0.68,15.24,1.04,15.92,"5"
"2012-13",2013-05-20,14.65,0.68,16.13,2.16,16.81,"15"
"2012-13",2013-07-12,15.63,0.68,16.13,1.18,16.81,"10"
"2012-13",2013-07-22,15.2,0.68,15.2,0.68,15.88,"20"
"2013-14",2013-01-03,12.92,0.75,14.89,2.72,15.64,"10"
"2013-14",2013-06-05,13,0.68,14.89,2.57,15.57,"10"
"2013-14",2013-06-13,13.01,0.68,14.89,2.56,15.57,"10"
"2013-14",2013-06-20,12.85,0.68,14.89,2.72,15.57,"10"
"2013-14",2013-08-27,13.7,0.6,14.89,1.79,15.49,"10"
"2013-14",2013-09-16,13.48,0.7,14.89,2.11,15.59,"10"
"2013-14",2013-11-05,12.59,0.7,14.89,3,15.59,"10"
"2013-14",2013-12-10,13.38,0.58,14.57,1.77,15.15,"10"
"2013-14",2014-02-14,13.38,0.5,14.57,1.69,15.07,"10"
"2013-14",2014-03-10,14.19,0.5,14.57,0.88,15.07,"10"
"2014-15",2014-03-14,11.74,0.5,12.71,1.47,13.21,"10"
"2014-15",2014-05-27,12.39,0.6,12.71,0.92,13.31,"10"
"2014-15",2014-06-30,11.57,0.6,12.71,1.74,13.31,"10"
"2014-15",2014-07-10,10.93,0.6,12.71,2.38,13.31,"10"
"2014-15",2014-07-29,10.95,0.6,12.71,2.36,13.31,"10"
"2014-15",2015-05-11,9.83,0.4,9.94,0.51,10.34,"12.5"
"2014-15",2015-05-20,9.41,0.4,10.56,1.55,10.96,"12.5"
"2014-15",2015-07-10,10.44,0.46,10.56,0.58,11.02,"12.5"
"2014-15",2015-07-20,10.08,0.46,10.45,0.83,10.91,"12.5"
"2015-16",2015-07-06,10.15,0.46,10.37,0.68,10.83,"10"
"2015-16",2015-07-15,10.16,0.46,10.37,0.67,10.83,"10"
"2015-16",2016-04-22,9.87,0.35,10.76,1.24,11.11,"10"
"2015-16",2016-05-18,10.75,0.46,11.78,1.49,12.24,"10"
"2015-16",2016-06-13,11.69,0.47,11.78,0.56,12.25,"10"
"2015-16",2016-07-01,11.69,0.48,11.78,0.58,12.27,"10"
"2015-16",2016-07-07,10.54,0.48,11.78,1.73,12.27,"20"
"2015-16",2016-07-15,10.73,0.5,10.78,0.55,11.28,"10"
